,Game,Team,Unnamed: 2,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
157,"2019-10-14 - Wild 2, Senators 0",Ottawa Senators,Limited ReportFull Report,37.85,32.47,41.46,43.92,21.93,30.06,42.18,14.32,24.8,36.61,0.0,1.06,0.0,1.2,2.03,37.11,14.16,22.13,39.02,4.67,9.59,32.77,2.84,6.32,30.98,0.0,0.0,-,0.00,100.00,9.49,12.58,42.99,4.77,8.27,36.58,0.0,1.05,0.00,0.00,87.28,13.5,17.49,43.55,5.74,9.21,38.4,0.0,0.0,-,0.0,100.0,0.0,95.74,0.9570000000000001,11500
158,"2019-10-14 - Panthers 6, Devils 4",Florida Panthers,Limited ReportFull Report,44.816666666667004,46.49,26.08,64.06,39.64,18.97,67.64,28.63,16.0,64.15,5.14,3.84,57.24,2.0,1.07,65.21,20.8,13.48,60.67,5.38,5.76,48.28,5.33,4.81,52.56,1.06,1.91,35.71,19.86,60.38,15.27,7.67,66.57,11.25,4.89,69.71,3.07,1.9,61.76,27.32,61.06,24.86,12.39,66.74,10.99,6.36,63.35,0.94,0.0,100.00,8.54,100.0,17.97,75.99,0.94,13208
159,"2019-10-14 - Panthers 6, Devils 4",New Jersey Devils,Limited ReportFull Report,44.816666666667004,26.08,46.49,35.94,18.97,39.64,32.36,16.0,28.63,35.85,3.84,5.14,42.76,1.07,2.0,34.79,13.48,20.8,39.33,5.76,5.38,51.72,4.81,5.33,47.44,1.91,1.06,64.29,39.62,80.14,7.67,15.27,33.43,4.89,11.25,30.29,1.9,3.07,38.24,38.94,72.68,12.39,24.86,33.26,6.36,10.99,36.65,0.0,0.94,0.00,0.0,91.46,24.01,82.03,1.06,13208
160,"2019-10-14 - Blues 2, Islanders 3",St Louis Blues,Limited ReportFull Report,53.75,47.61,42.1,53.07,29.54,24.52,54.64,21.78,21.0,50.91,1.06,0.95,52.62,1.1,1.36,44.61,18.81,18.86,49.93,6.7,8.82,43.19,4.45,7.96,35.87,0.0,0.0,-,0.00,100.00,12.34,9.83,55.65,6.46,4.68,57.95,0.0,0.0,-,0.00,100.00,25.28,19.92,55.93,10.89,7.31,59.82,1.05,0.88,54.39,9.68,87.92,4.85,95.47,1.003,10355
161,"2019-10-14 - Blues 2, Islanders 3",New York Islanders,Limited ReportFull Report,53.75,42.1,47.61,46.93,24.52,29.54,45.36,21.0,21.78,49.09,0.95,1.06,47.38,1.36,1.1,55.39,18.86,18.81,50.07,8.82,6.7,56.81,7.96,4.45,64.13,0.0,0.0,-,0.00,100.00,9.83,12.34,44.35,4.68,6.46,42.05,0.0,0.0,-,0.00,100.00,19.92,25.28,44.07,7.31,10.89,40.18,0.88,1.05,45.61,12.08,90.32,4.53,95.15,0.997,10355
162,"2019-10-14 - Stars 0, Sabres 4",Dallas Stars,Limited ReportFull Report,52.6,37.77,41.1,47.89,30.75,32.47,48.64,22.85,21.29,51.77,0.0,2.97,0.0,1.1,1.04,51.38,10.79,9.84,52.28,3.0,2.02,59.71,2.96,1.03,74.24,0.0,0.96,0.00,0.00,5.97,7.63,7.9,49.15,4.0,4.91,44.9,0.0,0.94,0.00,0.00,80.81,25.21,26.01,49.22,14.42,14.66,49.6,0.0,1.06,0.00,0.0,92.76,0.0,86.05,0.861,16595
163,"2019-10-14 - Stars 0, Sabres 4",Buffalo Sabres,Limited ReportFull Report,52.6,41.1,37.77,52.11,32.47,30.75,51.36,21.29,22.85,48.23,2.97,0.0,100.0,1.04,1.1,48.62,9.84,10.79,47.72,2.02,3.0,40.29,1.03,2.96,25.76,0.96,0.0,100.00,94.03,100.00,7.9,7.63,50.85,4.91,4.0,55.1,0.94,0.0,100.00,19.19,100.00,26.01,25.21,50.78,14.66,14.42,50.4,1.06,0.0,100.00,7.24,100.0,13.95,100.0,1.139,16595
164,"2019-10-14 - Avalanche 6, Capitals 3",Colorado Avalanche,Limited ReportFull Report,46.23333333333299,51.34,38.54,57.12,32.24,26.62,54.77,22.91,19.76,53.7,4.23,0.92,82.18,1.34,1.62,45.31,20.67,19.68,51.23,6.96,5.91,54.08,5.8,5.0,53.72,2.15,0.91,70.34,37.12,81.83,13.98,13.51,50.86,5.55,9.01,38.15,0.97,0.0,100.00,17.50,100.00,24.67,14.18,63.49,11.72,5.77,67.02,1.05,0.0,100.00,8.99,100.0,18.46,95.36,1.138,18573
165,"2019-10-14 - Avalanche 6, Capitals 3",Washington Capitals,Limited ReportFull Report,46.23333333333299,38.54,51.34,42.88,26.62,32.24,45.23,19.76,22.91,46.3,0.92,4.23,17.82,1.62,1.34,54.69,19.68,20.67,48.77,5.91,6.96,45.92,5.0,5.8,46.28,0.91,2.15,29.66,18.17,62.88,13.51,13.98,49.14,9.01,5.55,61.85,0.0,0.97,0.00,0.00,82.50,14.18,24.67,36.51,5.77,11.72,32.98,0.0,1.05,0.00,0.0,91.01,4.64,81.54,0.862,18573
166,"2019-10-14 - Oilers 1, Blackhawks 3",Edmonton Oilers,Limited ReportFull Report,46.033333333333,37.48,50.32,42.69,26.89,37.0,42.09,24.88,26.07,48.83,0.0,1.93,0.0,1.61,1.88,46.04,18.23,30.2,37.64,9.26,9.61,49.07,8.1,5.88,57.94,0.0,0.99,0.00,0.00,83.17,8.91,20.79,30.0,4.06,9.82,29.27,0.0,0.95,0.00,0.00,90.34,17.77,18.35,49.2,11.8,10.34,53.32,0.0,0.0,-,0.0,100.0,0.0,92.59,0.9259999999999999,21260
167,"2019-10-14 - Oilers 1, Blackhawks 3",Chicago Blackhawks,Limited ReportFull Report,46.033333333333,50.32,37.48,57.31,37.0,26.89,57.91,26.07,24.88,51.17,1.93,0.0,100.0,1.88,1.61,53.96,30.2,18.23,62.36,9.61,9.26,50.93,5.88,8.1,42.06,0.99,0.0,100.00,16.83,100.00,20.79,8.91,70.0,9.82,4.06,70.73,0.95,0.0,100.00,9.66,100.00,18.35,17.77,50.8,10.34,11.8,46.68,0.0,0.0,-,0.0,100.0,7.41,100.0,1.074,21260
