,Game,Team,Unnamed: 2,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
21,"2019-10-03 - Flames 3, Avalanche 5",Colorado Avalanche,Limited ReportFull Report,42.15,40.44,45.74,46.92,28.94,33.55,46.32,21.95,21.67,50.32,1.89,1.01,65.04,1.62,1.72,48.4,21.52,21.3,50.26,7.73,9.34,45.28,5.86,5.14,53.27,0.94,0.0,100.00,16.06,100.00,13.92,11.84,54.04,8.85,6.04,59.42,0.95,1.02,48.10,10.72,83.06,14.29,19.1,42.79,7.08,8.53,45.38,0.0,0.0,-,0.0,100.0,8.6,95.32,1.0390000000000001,18016
22,"2019-10-03 - Coyotes 1, Ducks 2",Arizona Coyotes,Limited ReportFull Report,53.966666666667,64.77,61.67,51.23,45.87,49.44,48.13,30.8,29.45,51.12,1.01,1.89,34.89,2.37,1.98,54.51,31.55,26.38,54.46,8.27,5.8,58.8,3.1,4.92,38.66,1.01,0.94,51.76,32.59,80.86,22.98,20.86,52.42,14.12,5.91,70.51,0.0,0.0,-,0.00,100.00,31.97,31.86,50.08,12.73,16.96,42.88,0.0,0.95,0.00,0.0,94.42,3.28,93.59,0.9690000000000001,17174
23,"2019-10-03 - Coyotes 1, Ducks 2",Anaheim Ducks,Limited ReportFull Report,53.966666666667,61.67,64.77,48.77,49.44,45.87,51.87,29.45,30.8,48.88,1.89,1.01,65.11,1.98,2.37,45.49,26.38,31.55,45.54,5.8,8.27,41.2,4.92,3.1,61.34,0.94,1.01,48.24,19.14,67.41,20.86,22.98,47.58,5.91,14.12,29.49,0.0,0.0,-,0.00,100.00,31.86,31.97,49.92,16.96,12.73,57.12,0.95,0.0,100.00,5.58,100.0,6.41,96.72,1.031,17174
24,"2019-10-04 - Jets 5, Devils 4",Winnipeg Jets,Limited ReportFull Report,52.0,38.98,46.35,45.68,34.08,40.6,45.64,25.4,30.45,45.48,4.03,3.91,50.76,1.73,2.12,45.05,25.6,19.22,57.12,8.12,9.91,45.01,2.98,6.1,32.8,1.02,1.93,34.61,34.31,68.36,17.12,9.33,64.72,13.67,7.17,65.58,2.08,1.0,67.49,15.23,86.03,14.33,24.5,36.9,8.81,16.33,35.04,0.94,1.07,46.78,10.66,93.46,15.88,87.15,1.03,16514
25,"2019-10-04 - Jets 5, Devils 4",New Jersey Devils,Limited ReportFull Report,52.0,46.35,38.98,54.32,40.6,34.08,54.36,30.45,25.4,54.52,3.91,4.03,49.24,2.12,1.73,54.95,19.22,25.6,42.88,9.91,8.12,54.99,6.1,2.98,67.2,1.93,1.02,65.39,31.64,65.69,9.33,17.12,35.28,7.17,13.67,34.42,1.0,2.08,32.51,13.97,84.77,24.5,14.33,63.1,16.33,8.81,64.96,1.07,0.94,53.22,6.54,89.34,12.85,84.12,0.97,16514
26,"2019-10-04 - Capitals 2, Islanders 1",Washington Capitals,Limited ReportFull Report,54.133333333333,56.57,33.68,62.68,38.56,26.23,59.52,27.63,19.83,58.22,1.06,0.92,53.35,2.24,1.13,66.42,31.31,16.73,65.17,8.78,4.57,65.77,5.45,3.72,59.39,0.0,0.0,-,0.00,100.00,22.64,12.13,65.11,12.64,7.64,62.33,1.05,0.0,100.00,8.32,100.00,23.12,15.92,59.22,7.36,7.45,49.69,0.0,0.89,0.00,0.0,88.07,3.82,95.34,0.992,13917
27,"2019-10-04 - Capitals 2, Islanders 1",New York Islanders,Limited ReportFull Report,54.133333333333,33.68,56.57,37.32,26.23,38.56,40.48,19.83,27.63,41.78,0.92,1.06,46.65,1.13,2.24,33.58,16.73,31.31,34.83,4.57,8.78,34.23,3.72,5.45,40.61,0.0,0.0,-,0.00,100.00,12.13,22.64,34.89,7.64,12.64,37.67,0.0,1.05,0.00,0.00,91.68,15.92,23.12,40.78,7.45,7.36,50.31,0.89,0.0,100.00,11.93,100.0,4.66,96.18,1.008,13917
28,"2019-10-04 - Maple Leafs 4, Blue Jackets 1",Toronto Maple Leafs,Limited ReportFull Report,43.916666666667005,44.05,36.63,54.6,26.28,27.99,48.42,20.6,20.81,49.74,1.08,0.0,100.0,1.26,1.51,45.43,13.24,16.06,45.2,4.44,5.26,45.81,4.43,3.49,55.93,0.0,0.0,-,0.00,100.00,8.93,10.61,45.7,5.37,8.3,39.28,0.0,0.0,-,0.00,100.00,23.12,14.69,61.15,10.81,7.39,59.39,1.11,0.0,100.00,10.28,100.0,5.22,100.0,1.052,18776
29,"2019-10-04 - Maple Leafs 4, Blue Jackets 1",Columbus Blue Jackets,Limited ReportFull Report,43.916666666667005,36.63,44.05,45.4,27.99,26.28,51.58,20.81,20.6,50.26,0.0,1.08,0.0,1.51,1.26,54.57,16.06,13.24,54.8,5.26,4.44,54.19,3.49,4.43,44.07,0.0,0.0,-,0.00,100.00,10.61,8.93,54.3,8.3,5.37,60.72,0.0,0.0,-,0.00,100.00,14.69,23.12,38.85,7.39,10.81,40.61,0.0,1.11,0.00,0.0,89.72,0.0,94.78,0.948,18776
30,"2019-10-04 - Blackhawks 3, Flyers 4",Chicago Blackhawks,Limited ReportFull Report,50.01666666666701,40.49,56.92,41.56,27.88,46.44,37.52,24.84,32.41,43.39,1.01,1.93,34.36,1.41,2.29,38.17,14.43,30.68,31.99,4.14,11.75,26.04,4.09,7.98,33.89,1.01,0.99,50.51,24.70,87.59,10.18,19.15,34.71,9.18,9.95,47.98,0.0,0.95,0.00,0.00,90.47,19.42,22.35,46.49,8.53,13.24,39.17,0.0,0.0,-,0.0,100.0,4.07,94.04,0.981,17463
31,"2019-10-04 - Blackhawks 3, Flyers 4",Philadelphia Flyers,Limited ReportFull Report,50.01666666666701,56.92,40.49,58.44,46.44,27.88,62.48,32.41,24.84,56.61,1.93,1.01,65.64,2.29,1.41,61.83,30.68,14.43,68.01,11.75,4.14,73.96,7.98,4.09,66.11,0.99,1.01,49.49,12.41,75.30,19.15,10.18,65.29,9.95,9.18,52.02,0.95,0.0,100.00,9.53,100.00,22.35,19.42,53.51,13.24,8.53,60.83,0.0,0.0,-,0.0,100.0,5.96,95.93,1.0190000000000001,17463
32,"2019-10-04 - Golden Knights 5, Sharks 1",Vegas Golden Knights,Limited ReportFull Report,45.23333333333299,45.18,32.96,57.82,29.05,28.9,50.13,23.34,20.06,53.77,3.22,0.92,77.81,2.24,2.01,52.7,23.45,20.03,53.93,13.35,8.43,61.3,12.26,7.57,61.81,3.23,0.91,78.08,26.38,88.01,10.32,11.36,47.62,4.41,4.5,49.51,0.0,0.0,-,0.00,100.00,15.87,11.31,58.39,2.35,6.9,25.38,0.0,0.0,-,0.0,100.0,13.78,95.43,1.092,17562
33,"2019-10-04 - Golden Knights 5, Sharks 1",San Jose Sharks,Limited ReportFull Report,45.23333333333299,32.96,45.18,42.18,28.9,29.05,49.87,20.06,23.34,46.23,0.92,3.22,22.19,2.01,2.24,47.3,20.03,23.45,46.07,8.43,13.35,38.7,7.57,12.26,38.19,0.91,3.23,21.92,11.99,73.62,11.36,10.32,52.38,4.5,4.41,50.49,0.0,0.0,-,0.00,100.00,11.31,15.87,41.61,6.9,2.35,74.62,0.0,0.0,-,0.0,100.0,4.57,86.22,0.9079999999999999,17562
34,"2019-10-05 - Devils 2, Sabres 7",New Jersey Devils,Limited ReportFull Report,49.366666666667,28.87,49.77,36.71,21.13,39.35,34.93,13.85,28.7,32.55,2.02,3.97,33.73,1.26,1.85,40.55,11.44,18.65,38.03,4.89,8.15,37.5,3.87,8.27,31.88,1.04,0.98,51.44,26.78,88.17,6.41,10.58,37.73,2.82,7.07,28.49,1.0,1.92,34.21,35.41,72.87,15.97,30.64,34.27,5.22,13.38,28.06,0.0,1.06,0.00,0.0,92.07,14.58,86.18,1.008,19070
35,"2019-10-05 - Devils 2, Sabres 7",Buffalo Sabres,Limited ReportFull Report,49.366666666667,49.77,28.87,63.29,39.35,21.13,65.07,28.7,13.85,67.45,3.97,2.02,66.27,1.85,1.26,59.45,18.65,11.44,61.97,8.15,4.89,62.5,8.27,3.87,68.12,0.98,1.04,48.56,11.83,73.22,10.58,6.41,62.27,7.07,2.82,71.51,1.92,1.0,65.79,27.13,64.59,30.64,15.97,65.73,13.38,5.22,71.94,1.06,0.0,100.00,7.93,100.0,13.82,85.42,0.992,19070
36,"2019-10-05 - Canadiens 6, Maple Leafs 5",Montreal Canadiens,Limited ReportFull Report,47.783333333333,56.46,42.59,57.0,44.3,33.24,57.13,30.36,22.22,57.74,4.13,2.86,59.13,2.6,1.37,65.57,30.57,20.87,59.42,8.43,2.83,74.88,5.25,0.95,84.73,2.12,0.94,69.22,40.33,0.48,21.77,18.45,54.12,12.93,9.99,56.4,1.02,0.94,52.07,7.91,90.57,25.39,19.25,56.88,12.2,11.32,51.88,0.94,0.89,51.36,7.69,92.14,13.61,87.15,1.008,19547
37,"2019-10-05 - Canadiens 6, Maple Leafs 5",Toronto Maple Leafs,Limited ReportFull Report,47.783333333333,42.59,56.46,43.0,33.24,44.3,42.87,22.22,30.36,42.26,2.86,4.13,40.87,1.37,2.6,34.43,20.87,30.57,40.58,2.83,8.43,25.12,0.95,5.25,15.27,0.94,2.12,30.78,99.52,59.67,18.45,21.77,45.88,9.99,12.93,43.6,0.94,1.02,47.93,9.43,92.09,19.25,25.39,43.12,11.32,12.2,48.12,0.89,0.94,48.64,7.86,92.31,12.85,86.39,0.992,19547
38,"2019-10-05 - Rangers 4, Senators 1",New York Rangers,Limited ReportFull Report,46.116666666667,53.91,46.01,53.95,34.9,30.8,53.12,24.04,22.26,51.93,1.06,0.92,53.35,0.95,1.38,40.87,15.62,18.47,45.81,0.0,4.33,0.0,0.0,3.52,0.0,0.0,0.92,0.00,-,73.89,15.71,13.91,53.04,6.58,6.39,50.73,1.05,0.0,100.00,15.99,100.00,28.14,23.17,54.84,15.1,10.3,59.45,0.0,0.0,-,0.0,100.0,4.39,95.85,1.002,15135
39,"2019-10-05 - Rangers 4, Senators 1",Ottawa Senators,Limited ReportFull Report,46.116666666667,46.01,53.91,46.05,30.8,34.9,46.88,22.26,24.04,48.07,0.92,1.06,46.65,1.38,0.95,59.13,18.47,15.62,54.19,4.33,0.0,100.0,3.52,0.0,100.0,0.92,0.0,100.00,26.11,-,13.91,15.71,46.96,6.39,6.58,49.27,0.0,1.05,0.00,0.00,84.01,23.17,28.14,45.16,10.3,15.1,40.55,0.0,0.0,-,0.0,100.0,4.15,95.61,0.998,15135
40,"2019-10-05 - Lightning 3, Panthers 4",Tampa Bay Lightning,Limited ReportFull Report,51.1,39.99,35.08,53.27,30.29,31.78,48.8,27.31,22.65,54.66,2.02,1.97,50.59,2.83,1.31,68.36,20.98,19.01,52.47,11.11,4.98,69.05,9.91,4.02,71.13,1.02,0.96,51.46,10.31,76.03,9.88,14.29,40.87,9.06,10.04,47.44,1.02,0.98,51.15,11.29,90.27,15.54,14.34,52.01,8.55,7.34,53.79,0.0,0.0,-,0.0,100.0,7.39,91.3,0.987,17424
41,"2019-10-05 - Lightning 3, Panthers 4",Florida Panthers,Limited ReportFull Report,51.1,35.08,39.99,46.73,31.78,30.29,51.2,22.65,27.31,45.34,1.97,2.02,49.41,1.31,2.83,31.64,19.01,20.98,47.53,4.98,11.11,30.95,4.02,9.91,28.87,0.96,1.02,48.54,23.97,89.69,14.29,9.88,59.13,10.04,9.06,52.56,0.98,1.02,48.85,9.73,88.71,14.34,15.54,47.99,7.34,8.55,46.21,0.0,0.0,-,0.0,100.0,8.7,92.61,1.013,17424
42,"2019-10-05 - Blue Jackets 2, Penguins 7",Columbus Blue Jackets,Limited ReportFull Report,51.51666666666701,38.73,61.76,38.54,31.78,47.03,40.32,22.8,34.53,39.78,2.02,5.9,25.5,1.52,2.33,39.5,16.74,31.36,34.79,7.96,10.73,42.59,6.88,9.93,40.92,1.04,1.92,35.05,15.06,80.67,8.73,21.0,29.35,3.88,11.24,25.67,1.0,3.86,20.52,25.70,65.62,20.76,25.08,45.28,10.16,11.1,47.79,0.0,0.0,-,0.0,100.0,8.85,82.92,0.9179999999999999,18595
43,"2019-10-05 - Blue Jackets 2, Penguins 7",Pittsburgh Penguins,Limited ReportFull Report,51.51666666666701,61.76,38.73,61.46,47.03,31.78,59.68,34.53,22.8,60.22,5.9,2.02,74.5,2.33,1.52,60.5,31.36,16.74,65.21,10.73,7.96,57.41,9.93,6.88,59.08,1.92,1.04,64.95,19.33,84.94,21.0,8.73,70.65,11.24,3.88,74.33,3.86,1.0,79.48,34.38,74.30,25.08,20.76,54.72,11.1,10.16,52.21,0.0,0.0,-,0.0,100.0,17.08,91.15,1.082,18595
44,"2019-10-05 - Hurricanes 3, Capitals 2",Carolina Hurricanes,Limited ReportFull Report,41.716666666666995,30.67,44.1,41.02,25.06,32.92,43.22,16.97,19.13,47.0,1.01,1.93,34.36,1.47,1.65,47.14,16.24,18.53,46.69,7.18,5.8,55.33,7.09,4.92,59.05,1.01,0.99,50.51,14.24,79.87,9.02,12.89,41.16,5.09,4.93,50.79,0.0,0.95,0.00,0.00,80.79,14.83,24.26,37.93,4.98,8.31,37.47,0.0,0.0,-,0.0,100.0,5.96,89.9,0.9590000000000001,18573
45,"2019-10-05 - Hurricanes 3, Capitals 2",Washington Capitals,Limited ReportFull Report,41.716666666666995,44.1,30.67,58.98,32.92,25.06,56.78,19.13,16.97,53.0,1.93,1.01,65.64,1.65,1.47,52.86,18.53,16.24,53.31,5.8,7.18,44.67,4.92,7.09,40.95,0.99,1.01,49.49,20.13,85.76,12.89,9.02,58.84,4.93,5.09,49.21,0.95,0.0,100.00,19.21,100.00,24.26,14.83,62.07,8.31,4.98,62.53,0.0,0.0,-,0.0,100.0,10.1,94.04,1.041,18573
46,"2019-10-05 - Stars 2, Blues 3",Dallas Stars,Limited ReportFull Report,49.75,35.13,45.61,43.51,28.29,36.68,43.54,21.03,24.92,45.76,1.06,2.81,27.32,1.43,1.13,55.96,18.39,15.32,54.57,6.27,4.68,57.22,4.15,2.78,59.91,0.0,0.0,-,0.00,100.00,12.01,10.66,52.97,9.08,6.86,56.96,1.05,2.86,26.92,11.59,58.35,13.3,26.28,33.6,7.09,14.44,32.93,0.0,0.0,-,0.0,100.0,5.02,88.72,0.937,18096
47,"2019-10-05 - Stars 2, Blues 3",St Louis Blues,Limited ReportFull Report,49.75,45.61,35.13,56.49,36.68,28.29,56.46,24.92,21.03,54.24,2.81,1.06,72.68,1.13,1.43,44.04,15.32,18.39,45.43,4.68,6.27,42.78,2.78,4.15,40.09,0.0,0.0,-,0.00,100.00,10.66,12.01,47.03,6.86,9.08,43.04,2.86,1.05,73.08,41.65,88.41,26.28,13.3,66.4,14.44,7.09,67.07,0.0,0.0,-,0.0,100.0,11.28,94.98,1.063,18096
48,"2019-10-05 - Red Wings 5, Predators 3",Detroit Red Wings,Limited ReportFull Report,51.433333333332996,38.97,62.46,38.42,32.17,47.54,40.36,20.34,35.89,36.17,4.25,1.85,69.68,0.82,1.58,34.07,6.54,16.27,28.67,0.0,4.45,0.0,0.0,3.61,0.0,0.0,0.92,0.00,-,74.54,6.58,11.66,36.06,4.2,8.43,33.25,2.09,0.96,68.52,49.79,88.61,29.08,42.12,40.84,13.98,23.71,37.09,2.11,0.0,100.00,15.08,100.0,20.88,94.85,1.157,17539
49,"2019-10-05 - Red Wings 5, Predators 3",Nashville Predators,Limited ReportFull Report,51.433333333332996,62.46,38.97,61.58,47.54,32.17,59.64,35.89,20.34,63.83,1.85,4.25,30.32,1.58,0.82,65.93,16.27,6.54,71.33,4.45,0.0,100.0,3.61,0.0,100.0,0.92,0.0,100.00,25.46,-,11.66,6.58,63.94,8.43,4.2,66.75,0.96,2.09,31.48,11.39,50.21,42.12,29.08,59.16,23.71,13.98,62.91,0.0,2.11,0.00,0.0,84.92,5.15,79.12,0.843,17539
50,"2019-10-05 - Wild 2, Avalanche 4",Minnesota Wild,Limited ReportFull Report,40.416666666667,34.51,39.77,46.46,27.28,29.18,48.32,21.51,23.28,48.02,1.01,1.93,34.43,1.54,1.25,55.17,16.99,19.76,46.23,9.07,7.67,54.21,8.97,6.81,56.84,0.0,1.93,0.00,0.00,71.64,7.82,12.26,38.95,6.01,7.98,42.96,1.02,0.0,100.00,17.02,100.00,17.02,18.45,47.98,6.73,8.31,44.77,0.0,0.0,-,0.0,100.0,4.72,91.7,0.9640000000000001,17090
51,"2019-10-05 - Wild 2, Avalanche 4",Colorado Avalanche,Limited ReportFull Report,40.416666666667,39.77,34.51,53.54,29.18,27.28,51.68,23.28,21.51,51.98,1.93,1.01,65.57,1.25,1.54,44.83,19.76,16.99,53.77,7.67,9.07,45.79,6.81,8.97,43.16,1.93,0.0,100.00,28.36,100.00,12.26,7.82,61.05,7.98,6.01,57.04,0.0,1.02,0.00,0.00,82.98,18.45,17.02,52.02,8.31,6.73,55.23,0.0,0.0,-,0.0,100.0,8.3,95.28,1.036,17090
52,"2019-10-05 - Bruins 1, Coyotes 0",Boston Bruins,Limited ReportFull Report,49.066666666667004,54.3,45.79,54.25,35.8,36.07,49.81,23.65,26.9,46.79,1.06,0.0,100.0,1.41,1.78,44.14,24.96,25.51,49.46,8.89,10.8,45.13,5.51,7.21,43.3,0.0,0.0,-,0.00,100.00,16.19,14.44,52.85,5.27,7.51,41.24,1.05,0.0,100.00,19.95,100.00,23.87,18.51,56.33,10.84,11.22,49.13,0.0,0.0,-,0.0,100.0,4.47,100.0,1.045,17125
53,"2019-10-05 - Bruins 1, Coyotes 0",Arizona Coyotes,Limited ReportFull Report,49.066666666667004,45.79,54.3,45.75,36.07,35.8,50.19,26.9,23.65,53.21,0.0,1.06,0.0,1.78,1.41,55.86,25.51,24.96,50.54,10.8,8.89,54.87,7.21,5.51,56.7,0.0,0.0,-,0.00,100.00,14.44,16.19,47.15,7.51,5.27,58.76,0.0,1.05,0.00,0.00,80.05,18.51,23.87,43.67,11.22,10.84,50.87,0.0,0.0,-,0.0,100.0,0.0,95.53,0.955,17125
54,"2019-10-05 - Canucks 0, Flames 3",Vancouver Canucks,Limited ReportFull Report,40.533333333333005,37.62,39.63,48.7,24.9,34.01,42.27,15.42,23.93,39.19,0.0,1.93,0.0,1.11,1.4,44.21,15.78,17.98,46.74,3.04,3.82,44.36,1.05,3.86,21.43,0.0,0.94,0.00,0.00,75.63,12.42,14.47,46.19,7.96,8.12,49.51,0.0,0.94,0.00,0.00,88.40,17.63,16.91,51.05,6.33,9.9,39.0,0.0,0.0,-,0.0,100.0,0.0,91.92,0.919,19005
55,"2019-10-05 - Canucks 0, Flames 3",Calgary Flames,Limited ReportFull Report,40.533333333333005,39.63,37.62,51.3,34.01,24.9,57.73,23.93,15.42,60.81,1.93,0.0,100.0,1.4,1.11,55.79,17.98,15.78,53.26,3.82,3.04,55.64,3.86,1.05,78.57,0.94,0.0,100.00,24.37,100.00,14.47,12.42,53.81,8.12,7.96,50.49,0.94,0.0,100.00,11.60,100.00,16.91,17.63,48.95,9.9,6.33,61.0,0.0,0.0,-,0.0,100.0,8.08,100.0,1.081,19005
56,"2019-10-05 - Kings 5, Oilers 6",Los Angeles Kings,Limited ReportFull Report,44.083333333332995,41.08,34.24,54.54,29.8,24.56,54.81,23.53,19.96,54.1,4.18,2.79,59.97,1.85,1.55,54.39,19.1,16.95,52.99,9.69,9.2,51.29,6.44,6.51,49.75,1.06,1.86,36.28,16.43,71.42,9.5,7.67,55.33,6.23,1.9,76.64,2.1,0.96,68.65,33.76,49.43,17.97,15.2,54.19,8.76,11.48,43.28,0.94,0.0,100.00,10.71,100.0,17.77,86.01,1.038,18347
57,"2019-10-05 - Kings 5, Oilers 6",Edmonton Oilers,Limited ReportFull Report,44.083333333332995,34.24,41.08,45.46,24.56,29.8,45.19,19.96,23.53,45.9,2.79,4.18,40.03,1.55,1.85,45.61,16.95,19.1,47.01,9.2,9.69,48.71,6.51,6.44,50.25,1.86,1.06,63.72,28.58,83.57,7.67,9.5,44.67,1.9,6.23,23.36,0.96,2.1,31.35,50.57,66.24,15.2,17.97,45.81,11.48,8.76,56.72,0.0,0.94,0.00,0.0,89.29,13.99,82.23,0.9620000000000001,18347
58,"2019-10-05 - Sharks 1, Ducks 3",San Jose Sharks,Limited ReportFull Report,46.866666666667,43.79,48.61,47.39,30.9,40.62,43.2,22.98,24.99,47.9,1.01,2.88,26.02,1.37,1.85,42.6,19.96,31.23,38.99,4.97,6.88,41.93,4.91,4.94,49.85,0.0,0.94,0.00,0.00,80.92,14.73,24.82,37.24,5.99,14.1,29.8,1.06,1.89,35.89,17.68,86.60,21.53,16.21,57.05,10.95,5.55,66.35,0.0,0.0,-,0.0,100.0,4.4,88.49,0.929,15795
59,"2019-10-05 - Sharks 1, Ducks 3",Anaheim Ducks,Limited ReportFull Report,46.866666666667,48.61,43.79,52.61,40.62,30.9,56.8,24.99,22.98,52.1,2.88,1.01,73.98,1.85,1.37,57.4,31.23,19.96,61.01,6.88,4.97,58.07,4.94,4.91,50.15,0.94,0.0,100.00,19.08,100.00,24.82,14.73,62.76,14.1,5.99,70.2,1.89,1.06,64.11,13.40,82.32,16.21,21.53,42.95,5.55,10.95,33.65,0.0,0.0,-,0.0,100.0,11.51,95.6,1.071,15795
60,"2019-10-06 - Lightning 3, Hurricanes 4",Tampa Bay Lightning,Limited ReportFull Report,48.8,28.38,63.92,30.75,19.48,49.68,28.17,12.79,33.03,27.91,2.09,0.94,68.87,1.1,2.71,28.85,13.11,31.8,29.2,4.42,13.47,24.69,4.39,12.6,25.86,0.0,0.0,-,0.00,100.00,8.81,18.01,32.86,2.1,7.49,21.91,1.04,0.0,100.00,49.49,100.00,14.06,26.87,34.35,6.34,10.93,36.71,0.94,0.95,49.79,14.79,91.35,16.32,97.14,1.135,14125
61,"2019-10-06 - Lightning 3, Hurricanes 4",Carolina Hurricanes,Limited ReportFull Report,48.8,63.92,28.38,69.25,49.68,19.48,71.83,33.03,12.79,72.09,0.94,2.09,31.13,2.71,1.1,71.15,31.8,13.11,70.8,13.47,4.42,75.31,12.6,4.39,74.14,0.0,0.0,-,0.00,100.00,18.01,8.81,67.14,7.49,2.1,78.09,0.0,1.04,0.00,0.00,50.51,26.87,14.06,65.65,10.93,6.34,63.29,0.95,0.94,50.21,8.65,85.21,2.86,83.68,0.865,14125
62,"2019-10-06 - Stars 3, Red Wings 4",Dallas Stars,Limited ReportFull Report,41.066666666667,25.06,31.42,44.37,19.81,26.2,43.06,17.67,23.66,42.76,3.14,2.81,52.8,1.44,1.53,48.49,16.9,13.02,56.49,4.2,5.56,43.04,3.1,5.62,35.56,1.01,1.86,35.20,32.59,66.89,12.69,7.35,63.31,9.4,5.72,62.19,2.09,0.95,68.81,22.24,83.42,7.34,15.71,31.83,5.16,11.35,31.25,0.0,0.0,-,0.0,100.0,17.79,88.12,1.0590000000000002,19515
63,"2019-10-06 - Stars 3, Red Wings 4",Detroit Red Wings,Limited ReportFull Report,41.066666666667,31.42,25.06,55.63,26.2,19.81,56.94,23.66,17.67,57.24,2.81,3.14,47.2,1.53,1.44,51.51,13.02,16.9,43.51,5.56,4.2,56.96,5.62,3.1,64.44,1.86,1.01,64.80,33.11,67.41,7.35,12.69,36.69,5.72,9.4,37.81,0.95,2.09,31.19,16.58,77.76,15.71,7.34,68.17,11.35,5.16,68.75,0.0,0.0,-,0.0,100.0,11.88,82.21,0.941,19515
64,"2019-10-06 - Jets 1, Islanders 4",Winnipeg Jets,Limited ReportFull Report,54.1,58.01,46.06,55.74,41.18,38.21,51.87,32.61,28.0,53.81,1.0,2.96,25.33,2.32,3.01,43.56,30.1,29.46,50.54,9.93,20.92,32.18,9.79,16.13,37.77,1.02,2.92,25.94,10.45,81.90,19.71,8.36,70.22,8.79,4.08,68.28,0.0,0.0,-,0.00,100.00,27.19,11.12,70.97,13.1,7.31,64.17,0.0,0.0,-,0.0,100.0,3.08,89.43,0.925,9923
65,"2019-10-06 - Jets 1, Islanders 4",New York Islanders,Limited ReportFull Report,54.1,46.06,58.01,44.26,38.21,41.18,48.13,28.0,32.61,46.19,2.96,1.0,74.67,3.01,2.32,56.44,29.46,30.1,49.46,20.92,9.93,67.82,16.13,9.79,62.23,2.92,1.02,74.06,18.10,89.55,8.36,19.71,29.78,4.08,8.79,31.72,0.0,0.0,-,0.00,100.00,11.12,27.19,29.03,7.31,13.1,35.83,0.0,0.0,-,0.0,100.0,10.57,96.92,1.075,9923
66,"2019-10-07 - Blues 3, Maple Leafs 2",St Louis Blues,Limited ReportFull Report,45.366666666667,38.87,59.44,39.54,32.4,47.16,40.72,22.81,27.86,45.02,3.12,1.87,62.59,1.53,2.55,37.46,19.05,32.17,37.19,2.13,11.02,16.2,2.11,7.39,22.19,0.0,1.86,0.00,0.00,74.85,16.85,21.25,44.23,11.39,14.55,43.91,2.11,0.0,100.00,18.52,100.00,18.94,25.05,43.05,9.3,5.74,61.82,1.05,0.0,100.00,11.33,100.0,13.69,93.3,1.07,19466
67,"2019-10-07 - Blues 3, Maple Leafs 2",Toronto Maple Leafs,Limited ReportFull Report,45.366666666667,59.44,38.87,60.46,47.16,32.4,59.28,27.86,22.81,54.98,1.87,3.12,37.41,2.55,1.53,62.54,32.17,19.05,62.81,11.02,2.13,83.8,7.39,2.11,77.81,1.86,0.0,100.00,25.15,100.00,21.25,16.85,55.77,14.55,11.39,56.09,0.0,2.11,0.00,0.00,81.48,25.05,18.94,56.95,5.74,9.3,38.18,0.0,1.05,0.00,0.0,88.67,6.7,86.31,0.93,19466
68,"2019-10-07 - Sabres 3, Blue Jackets 4",Buffalo Sabres,Limited ReportFull Report,50.816666666667004,40.86,47.88,46.05,27.09,35.78,43.09,15.17,30.95,32.89,1.01,0.94,51.74,1.32,1.42,48.09,13.28,21.31,38.4,5.25,3.8,58.0,2.11,2.84,42.62,0.0,0.94,0.00,0.00,66.83,7.99,17.73,31.06,3.06,13.75,18.2,1.06,0.0,100.00,34.58,100.00,19.86,21.21,48.35,8.85,11.3,43.93,0.0,0.0,-,0.0,100.0,6.67,96.95,1.036,14618
69,"2019-10-07 - Sabres 3, Blue Jackets 4",Columbus Blue Jackets,Limited ReportFull Report,50.816666666667004,47.88,40.86,53.95,35.78,27.09,56.91,30.95,15.17,67.11,0.94,1.01,48.26,1.42,1.32,51.91,21.31,13.28,61.6,3.8,5.25,42.0,2.84,2.11,57.38,0.94,0.0,100.00,33.17,100.00,17.73,7.99,68.94,13.75,3.06,81.8,0.0,1.06,0.00,0.00,65.42,21.21,19.86,51.65,11.3,8.85,56.07,0.0,0.0,-,0.0,100.0,3.05,93.33,0.9640000000000001,14618
70,"2019-10-08 - Hurricanes 6, Panthers 3",Carolina Hurricanes,Limited ReportFull Report,40.616666666667,34.03,41.62,44.98,24.58,32.3,43.21,21.33,29.06,42.33,3.22,0.92,77.81,1.3,1.53,46.05,14.69,21.17,40.96,4.43,7.4,37.43,4.41,6.52,40.32,3.23,0.91,78.08,73.37,86.08,10.4,13.42,43.66,7.73,9.77,44.15,0.0,0.0,-,0.00,100.00,18.03,19.06,48.61,9.19,11.72,43.96,0.0,0.0,-,0.0,100.0,15.08,96.84,1.119,11638
